Year,Area harvested,Production,Yield
1975,2066,1018,0.4927
1975,41600,20700,0.4976
1975,434,173,0.3986
1975,150,80,0.5333
1975,4000,2000,0.5
1975,669,203,0.3034
1975,11300,5000,0.4425
1975,3147,2832,0.8999
1975,13863,17000,1.2263
1975,3829,2887,0.754
1975,6200,2688,0.4335
1975,11000,12705,1.155
1975,2000,400,0.2
1975,11500,3500,0.3043
1975,1385,898,0.6484
1975,2170100,479200,0.2208
1975,6500,4000,0.6154
1975,11675,7600,0.651
1975,280,150,0.5357
1975,302,49,0.1623
1975,13000,5300,0.4077
1975,218660,110725,0.5064
1975,120,70,0.5833
1975,7000,3000,0.4286
1975,655534,95144,0.1451
1975,6542,3947,0.6033
1975,125000,36000,0.288
1975,28116,10691,0.3802
1975,170,84,0.4941
1975,155,138,0.8903
1975,52166,25136,0.4818
1975,1750,460,0.2629
1975,2000,900,0.45
1975,57000,37300,0.6544
1975,21359,8474,0.3967
1975,31184,13494,0.4327
1975,25760,20900,0.8113
1975,7000,1500,0.2143
1975,54000,33000,0.6111
1975,122800,39100,0.3184
1975,38000,10000,0.2632
1975,136472,65036,0.4766
1975,7300,3700,0.5068
1975,13128,8658,0.6595
1976,40000,24000,0.6
1976,6000,2000,0.3333
1976,51568,27743,0.538
1976,2500,580,0.232
1976,4500,2500,0.5556
1976,25000,7000,0.28
1976,8500,5000,0.5882
1976,28000,14141,0.505
1976,47000,13000,0.2766
1976,27000,8000,0.2963
1976,562885,230028,0.4087
1976,561300,229000,0.408
1976,1585,1028,0.6486
1976,36100,20300,0.5623
1976,477,190,0.3983
1976,150,80,0.5333
1976,6000,3000,0.5
1976,334,102,0.3054
1976,9500,4200,0.4421
1976,3837,3454,0.9002
1976,12936,13009,1.0056
1976,4213,2851,0.6767
1976,6000,2072,0.3453
1976,14789,15525,1.0498
1976,2000,400,0.2
1976,13000,4000,0.3077
1976,1436,919,0.64
1976,2278800,421800,0.1851
1976,6500,4000,0.6154
1976,12012,7030,0.5852
1976,210,100,0.4762
1976,286,110,0.3846
1976,15000,6000,0.4
1976,197959,84777,0.4283
1976,120,70,0.5833
1976,7000,3000,0.4286
1976,664237,134345,0.2023
1976,7035,5520,0.7846
1976,125000,37000,0.296
1976,30298,11951,0.3944
1976,180,87,0.4833
1976,150,138,0.92
1976,65241,35543,0.5448
1976,3809,1614,0.4237
1976,2000,1000,0.5
1976,45000,38800,0.8622
1976,25786,11469,0.4448
1976,42641,19028,0.4462
1976,28000,20600,0.7357
1976,7000,1500,0.2143
1976,42800,25000,0.5841
1976,113488,39720,0.35
1976,23000,5809,0.2526
1976,140199,62800,0.4479
1976,13560,4820,0.3555
1976,13868,9259,0.6677
1977,40000,21600,0.54
1977,7000,2500,0.3571
1977,54838,29958,0.5463
1977,2400,600,0.25
1977,4500,2500,0.5556
1977,25000,6000,0.24
1977,8000,4500,0.5625
1977,30000,15624,0.5208
1977,51000,10800,0.2118
1977,27500,9000,0.3273
1977,557864,241642,0.4332
1977,556400,241000,0.4331
1977,1464,642,0.4385
1977,22000,13300,0.6045
1977,490,200,0.4082
1977,150,80,0.5333
1977,9500,5000,0.5263
1977,294,81,0.2755
