Year,Area harvested,Production,Yield
1991,16794,8027,0.478
1983,9000,4900,0.5444
1995,36682,21081,0.5747
1971,591000,280000,0.4738
1986,7000,3000,0.4286
1978,100,83,0.83
1990,124000,61830,0.4986
1990,16700,8200,0.491
1971,3300,1000,0.303
2017,9065,7754,0.8554
1999,3060,1876,0.6131
2018,534,451,0.8455
1985,24000,6946,0.2894
1978,15200,9300,0.6118
1973,43530,25447,0.5846
1996,25914,15053,0.5809
1976,150,80,0.5333
1968,11506,7255,0.6305
2014,433,308,0.7113
1996,42578,23022,0.5407
1995,13860,9249,0.6673
2004,2920,4900,1.6781
2012,7089,4784,0.6748
2007,22148,9820,0.4434
2017,37038,29754,0.8033
2012,58892,41953,0.7124
2017,12509,3204,0.2561
1983,150,80,0.5333
1966,140,50,0.3571
